"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0R530","2019-07-12 00:00:00","16.000","91.000","1.300","25.100","0.990","1010.300","-99.000","39.000","-99.000","-99.000","-99.000","29.800","","24.400",""
"C0O840","2019-07-12 00:00:00","134.000","110.000","1.100","25.800","1.000","995.900","-99.000","8.000","-99.000","-99.000","-99.000","30.400","","24.500",""
"C0A890","2019-07-12 00:00:00","40.000","0.000","0.100","24.300","1.000","1004.700","-99.000","70.000","-99.000","-99.000","-99.000","34.500","","24.300",""
"C0A660","2019-07-12 00:00:00","97.000","0.000","0.000","24.800","1.000","998.900","-99.000","30.500","-99.000","-99.000","-99.000","33.100","","24.800",""
"C0T9H0","2019-07-12 00:00:00","725.000","310.000","2.200","22.600","0.990","932.400","-99.000","4.000","-99.000","-99.000","-99.000","34.000","","22.300",""
"C0O980","2019-07-12 00:00:00","18.000","0.000","0.200","25.300","0.970","1010.900","-99.000","12.000","-99.000","-99.000","-99.000","31.700","","24.500",""
"C0T9I0","2019-07-12 00:00:00","152.000","207.000","1.500","24.900","0.920","994.800","-99.000","0.000","-99.000","-99.000","-99.000","32.600","","24.600",""
"C0V760","2019-07-12 00:00:00","30.000","107.000","0.900","26.500","0.860","1009.300","-99.000","80.500","-99.000","-99.000","-99.000","30.200","","24.700",""
"C0R570","2019-07-12 00:00:00","37.000","9.000","1.300","25.300","0.950","1007.100","-99.000","93.000","-99.000","-99.000","-99.000","30.000","","24.000",""
"C0O900","2019-07-12 00:00:00","9.000","0.000","0.100","26.100","0.970","1011.200","-99.000","9.500","-99.000","-99.000","-99.000","31.400","","25.100",""
"C0AD00","2019-07-12 00:00:00","86.000","194.000","1.500","26.400","0.990","1001.100","-99.000","0.000","-99.000","-99.000","-99.000","31.600","","26.400",""
"C0V700","2019-07-12 00:00:00","24.000","93.000","2.200","27.000","0.860","1008.600","-99.000","40.500","-99.000","-99.000","-99.000","30.700","","24.600",""
"C0AH00","2019-07-12 00:00:00","38.000","0.000","0.000","27.000","0.960","1005.900","-99.000","0.000","-99.000","-99.000","-99.000","33.300","","27.000",""
"C0X080","2019-07-12 00:00:00","2.000","309.000","2.100","26.100","0.950","1011.600","-99.000","15.000","-99.000","-99.000","-99.000","31.700","","24.800",""
"CM0150","2019-07-12 00:00:00","11.000","322.000","1.000","26.600","0.770","1009.900","-99.000","0.500","-99.000","-99.000","-99.000","32.400","","26.000",""
"C0I480","2019-07-12 00:00:00","2165.000","187.000","0.300","14.600","0.980","791.300","-99.000","5.000","-99.000","-99.000","-99.000","18.700","","13.600",""
"C0A860","2019-07-12 00:00:00","362.000","0.000","0.000","23.800","0.950","970.100","-99.000","0.000","-99.000","-99.000","-99.000","31.800","","23.500",""
"C0U940","2019-07-12 00:00:00","25.000","233.000","1.200","26.200","0.930","1008.200","-99.000","5.000","-99.000","-99.000","-99.000","34.800","","25.900",""
"C0S970","2019-07-12 00:00:00","19.000","301.000","2.700","25.400","0.800","1008.800","-99.000","13.000","-99.000","-99.000","-99.000","32.700","","24.800",""
"C0V260","2019-07-12 00:00:00","126.000","38.000","1.000","25.300","0.970","998.500","-99.000","24.500","-99.000","-99.000","-99.000","31.100","","24.600",""
"C0H990","2019-07-12 00:00:00","3076.000","232.000","4.200","9.400","0.990","709.100","-99.000","3.500","-99.000","-99.000","-99.000","11.900","","8.200",""
"C0AH90","2019-07-12 00:00:00","660.000","0.000","0.000","21.100","0.990","940.700","-99.000","34.000","-99.000","-99.000","-99.000","31.000","","21.000",""
"C0W150","2019-07-12 00:00:00","42.000","226.000","1.900","27.400","0.980","1005.600","-99.000","1.000","-99.000","-99.000","-99.000","31.200","","26.100",""
"C0F000","2019-07-12 00:00:00","273.000","165.000","0.700","25.400","1.000","979.400","-99.000","0.500","-99.000","-99.000","-99.000","30.100","","24.000",""
"C0K410","2019-07-12 00:00:00","20.000","182.000","3.400","27.000","0.830","1008.400","-99.000","6.500","-99.000","-99.000","-99.000","31.100","","25.000",""
"C0R140","2019-07-12 00:00:00","740.000","305.000","1.100","22.800","0.780","934.200","-99.000","59.000","-99.000","-99.000","-99.000","24.000","","20.900",""
"C0V800","2019-07-12 00:00:00","256.000","0.000","0.100","24.300","0.970","982.100","-99.000","29.000","-99.000","-99.000","-99.000","29.700","","23.700",""
"C0S830","2019-07-12 00:00:00","288.000","216.000","1.000","25.300","0.980","979.800","-99.000","0.000","-99.000","-99.000","-99.000","35.300","","25.300",""
